round,slot,team_a,seed_a,elo_a,team_b,seed_b,elo_b,win_prob,winner,winner_id
Round of 64,R1X6,North Carolina,X06,1907.1072724971395,VCU,X11,1840.3232890383636,0.601411605883568,North Carolina,1314
Round of 64,R1X7,St Mary's CA,X07,1873.0912226858022,Texas A&M,X10,1907.3221662613944,0.5525162428404564,Texas A&M,1401
Round of 64,R1X8,Clemson,X08,1919.628734505086,Iowa,X09,1913.2486110014538,0.5098231931535046,Clemson,1155
Round of 64,R1Y1,Michigan,Y01,2169.8477481054056,UMBC,Y16,1431.4672556760786,0.9895224955360096,Michigan,1276
Round of 64,R1Y2,Iowa St,Y02,2090.944080293456,Tennessee St,Y15,1404.8400907441953,0.9855996721960684,Iowa St,1235
Round of 64,R1Y3,Virginia,Y03,1979.0757957118353,Wright St,Y14,1521.8070328011445,0.943561400848653,Virginia,1438
Round of 64,R1Y4,Alabama,Y04,2034.1839907199926,Hofstra,Y13,1609.2159583054472,0.931982849492839,Alabama,1104
Round of 64,R1Y5,Texas Tech,Y05,1998.2162516811622,Akron,Y12,1691.2011492748354,0.8688733206763505,Texas Tech,1403
Round of 64,R1Y6,Tennessee,Y06,1980.9782134734537,SMU,Y11,1811.7889689731217,0.7392563082925331,Tennessee,1397
Round of 64,R1Y7,Kentucky,Y07,1942.5887900110502,Santa Clara,Y10,1838.6003137052462,0.6548683294400596,Kentucky,1246
Round of 64,R1Y8,Georgia,Y08,1917.2595414978575,St Louis,Y09,1781.352881445847,0.6978552587486727,Georgia,1208
Round of 64,R1Z1,Arizona,Z01,2183.0769479460714,LIU Brooklyn,Z16,1389.8215383005256,0.9925049512636147,Arizona,1112
Round of 64,R1Z2,Purdue,Z02,2076.4959170957923,Queens NC,Z15,1430.0048508591653,0.9816932106098287,Purdue,1345
Round of 64,R1Z3,Gonzaga,Z03,1950.7278206339743,Kennesaw,Z14,1518.3524318473023,0.934818670756508,Gonzaga,1211
Round of 64,R1Z4,Arkansas,Z04,2042.8012661995224,Hawaii,Z13,1596.6264270496983,0.9398102574075695,Arkansas,1116
Round of 64,R1Z5,Wisconsin,Z05,1992.7622736144351,High Point,Z12,1588.2343022028435,0.9235547796680255,Wisconsin,1458
Round of 64,R1Z6,BYU,Z06,1977.4741709184925,Texas,Z11,1886.2046416556434,0.6369537750960313,BYU,1140
Round of 64,R1Z7,Miami FL,Z07,1855.021958846046,Missouri,Z10,1895.523343306553,0.5620447753850273,Missouri,1281
Round of 64,R1Z8,Villanova,Z08,1916.9633049240147,Utah St,Z09,1885.9903143131235,0.5475497485132308,Villanova,1437
Round of 32,R2W1,Duke,R1W1,2125.4091189140886,Ohio St,R1W8,1965.9103884671058,0.727587913736664,Duke,1181
Round of 32,R2W2,Connecticut,R1W2,2023.655410429453,UCLA,R1W7,1999.9863921564436,0.536382410963583,Connecticut,1163
Round of 32,R2W3,Michigan St,R1W3,2051.126855659771,Louisville,R1W6,1941.2000726992264,0.6630877200179753,Michigan St,1277
Round of 32,R2W4,Kansas,R1W4,1986.7012341103634,St John's,R1W5,2098.976425869261,0.6663115351969945,St John's,1385
Round of 32,R2X1,Florida,R1X1,2102.219274916053,Clemson,R1X8,1938.2798677586295,0.7329753045263806,Florida,1196
Round of 32,R2X2,Houston,R1X2,2113.683133234684,Texas A&M,R1X7,1924.4562330186284,0.7623355541376915,Houston,1222
Round of 32,R2X3,Illinois,R1X3,2015.8526284919403,North Carolina,R1X6,1922.4994228633936,0.6399163609412286,Illinois,1228
Round of 32,R2X4,Nebraska,R1X4,1989.5895123629189,Vanderbilt,R1X5,2021.9134795877287,0.5496104136084561,Vanderbilt,1435
Round of 32,R2Y1,Michigan,R1Y1,2170.3819237244575,Georgia,R1Y8,1929.1845279179922,0.8154221889287172,Michigan,1276
Round of 32,R2Y2,Iowa St,R1Y2,2091.6622664988786,Kentucky,R1Y7,1956.0659738323382,0.6974520219920852,Iowa St,1235
Round of 32,R2Y3,Virginia,R1Y3,1981.6252707461174,Tennessee,R1Y6,1991.3939203264033,0.5150377554630348,Tennessee,1397
Round of 32,R2Y4,Alabama,R1Y4,2037.212918170352,Texas Tech,R1Y5,2003.7595323009364,0.5513318307113997,Alabama,1104
Round of 32,R2Z1,Arizona,R1Z1,2183.4679270109814,Villanova,R1Z8,1934.273976506313,0.8227205056631264,Arizona,1112
Round of 32,R2Z2,Purdue,R1Z2,2077.393701746864,Missouri,R1Z7,1912.3184470514987,0.7343423760107572,Purdue,1345
Round of 32,R2Z3,Gonzaga,R1Z3,1953.6399987734503,BYU,R1Z6,1991.5946981090615,0.5581799549707993,BYU,1140
Round of 32,R2Z4,Arkansas,R1Z4,2045.5068957979008,Wisconsin,R1Z5,1996.1358299065091,0.575443728853676,Arkansas,1116
Sweet 16,R3W1,Duke,R2W1,2136.2518603449535,St John's,R2W4,2112.0416623396227,0.5372112350482278,Duke,1181
Sweet 16,R3W2,Connecticut,R2W2,2041.363035810942,Michigan St,R2W3,2064.308231534349,0.5352735534417585,Michigan St,1277
Sweet 16,R3X1,Florida,R2X1,2112.865025457734,Vanderbilt,R2X4,2039.1508808762433,0.6115984035348748,Florida,1196
Sweet 16,R3X2,Houston,R2X2,2123.2497979876352,Illinois,R2X3,2029.8668872118008,0.6399585195886761,Houston,1222
Sweet 16,R3Y1,Michigan,R2Y1,2177.9688634404533,Alabama,R2Y4,2054.3891058367017,0.6816096587714932,Michigan,1276
Sweet 16,R3Y2,Iowa St,R2Y2,2103.6018772156435,Tennessee,R2Y3,2009.8598488139264,0.6404680216604112,Iowa St,1235
Sweet 16,R3Z1,Arizona,R2Z1,2190.779213565606,Arkansas,R2Z4,2061.8249975581034,0.6887501362687956,Arizona,1112
Sweet 16,R3Z2,Purdue,R2Z2,2087.989417986376,BYU,R2Z3,2008.5273098609766,0.61997452783084,Purdue,1345
Elite 8,R4W1,Duke,R3W1,2153.9300306293453,Michigan St,R3W2,2082.0552625503615,0.6089037542043582,Duke,1181
Elite 8,R4X1,Florida,R3X1,2127.8932819152787,Houston,R3X2,2137.262544131019,0.5144232911869984,Houston,1222
Elite 8,R4Y1,Michigan,R3Y1,2190.4820157265985,Iowa St,R3Y2,2117.5963425825116,0.6103855431469539,Michigan,1276
Elite 8,R4Z1,Arizona,R3Z1,2203.0340996343302,Purdue,R3Z2,2102.718137886871,0.6497379756729139,Arizona,1112
Final Four,R5WX,Duke,R4W1,2169.0545861635683,Houston,R4X1,2155.7502971126855,0.5204752030680951,Duke,1181
Final Four,R5YZ,Michigan,R4Y1,2205.5536200685797,Arizona,R4Z1,2216.695710809184,0.5171504596603351,Arizona,1112
Championship,R6CH,Duke,R5WX,2187.3273779547235,Arizona,R5YZ,2235.086598823332,0.5730164329611045,Arizona,1112
