round,slot,team_a,seed_a,elo_a,team_b,seed_b,elo_b,win_prob,winner,winner_id
Round of 64,R1Y4,West Virginia,Y04,2091.690288461313,Miami OH,Y13,1706.488842385461,0.9147151295300879,West Virginia,3452
Round of 64,R1Y5,Kentucky,Y05,2065.9468986181105,James Madison,Y12,1787.5850559839519,0.8474250106107194,Kentucky,3246
Round of 64,R1Y6,Alabama,Y06,2036.8111536009737,Rhode Island,Y11,1799.1100179419614,0.8121589536864154,Alabama,3104
Round of 64,R1Y7,NC State,Y07,2005.5058265557548,Tennessee,Y10,1968.886926509113,0.5561499092192327,NC State,3301
Round of 64,R1Y8,Oregon,Y08,2017.7195702875308,Virginia Tech,Y09,1937.548451854817,0.6210029002097975,Oregon,3332
Round of 64,R1Z1,UCLA,Z01,2354.632656877899,Cal Baptist,Z16,1550.4951450923193,0.9929874508852276,UCLA,3417
Round of 64,R1Z2,LSU,Z02,2206.7399875218953,Jacksonville,Z15,1518.0968884962851,0.9858199644649388,LSU,3261
Round of 64,R1Z3,Duke,Z03,2108.906351564683,Col Charleston,Z14,1578.417739623176,0.963296869165279,Duke,3181
Round of 64,R1Z4,Minnesota,Z04,2063.004784699279,WI Green Bay,Z13,1611.9546177171,0.9414866491692163,Minnesota,3278
Round of 64,R1Z5,Mississippi,Z05,2016.3202083929898,Gonzaga,Z12,1781.62817333678,0.809315048028853,Mississippi,3279
Round of 64,R1Z6,Baylor,Z06,1991.1654194983303,Nebraska,Z11,1984.425763035409,0.5103765953859133,Baylor,3124
Round of 64,R1Z7,Texas Tech,Z07,1986.727027463179,Villanova,Z10,1979.907112632747,0.5105001276724601,Texas Tech,3403
Round of 64,R1Z8,Oklahoma St,Z08,1967.0466715052146,Princeton,Z09,1848.1007836131016,0.6753836992212046,Oklahoma St,3329
Round of 32,R2W1,Connecticut,R1W1,2253.6583794301223,Iowa St,R1W8,1997.2563304753037,0.8291034676428994,Connecticut,3163
Round of 32,R2W2,Vanderbilt,R1W2,2142.3291955460304,Illinois,R1W7,2025.2704375451242,0.6728301541885785,Vanderbilt,3435
Round of 32,R2W3,Ohio St,R1W3,2143.559840673801,Notre Dame,R1W6,2038.3155703773882,0.6566144514401092,Ohio St,3326
Round of 32,R2W4,North Carolina,R1W4,2058.8123343085845,Maryland,R1W5,2060.4342207127165,0.5024974471417696,Maryland,3268
Round of 32,R2X1,South Carolina,R1X1,2286.3050634768047,USC,R1X8,2050.1614579129405,0.8106910192976037,South Carolina,3376
Round of 32,R2X2,Iowa,R1X2,2177.689444685068,Georgia,R1X7,2025.3357007588688,0.7187783637707936,Iowa,3234
Round of 32,R2X3,TCU,R1X3,2122.69616201107,Washington,R1X6,2031.680947786049,0.6365914699963577,TCU,3395
Round of 32,R2X4,Oklahoma,R1X4,2109.5351004680156,Michigan St,R1X5,2043.0742305723732,0.6009344298358508,Oklahoma,3328
Round of 32,R2Y1,Texas,R1Y1,2282.340219962007,Oregon,R1Y8,2032.4114933811281,0.8233796351121916,Texas,3400
Round of 32,R2Y2,Michigan,R1Y2,2156.881092066494,NC State,R1Y7,2022.510653328458,0.6958563901878436,Michigan,3276
Round of 32,R2Y3,Louisville,R1Y3,2076.5952538701777,Alabama,R1Y6,2044.5210411883013,0.5492295852988958,Louisville,3257
Round of 32,R2Y4,West Virginia,R1Y4,2095.4218507104515,Kentucky,R1Y5,2072.3175719949086,0.5355172903822265,West Virginia,3452
Round of 32,R2Z1,UCLA,R1Z1,2355.000124990583,Oklahoma St,R1Z8,1979.7847059497738,0.9097927911306699,UCLA,3417
Round of 32,R2Z2,LSU,R1Z2,2207.44794699914,Texas Tech,R1Z7,2005.3541187941667,0.7763949085027592,LSU,3261
Round of 32,R2Z3,Duke,R1Z3,2110.6184936498735,Baylor,R1Z6,2009.7968981992929,0.6504464171156953,Duke,3181
Round of 32,R2Z4,Minnesota,R1Z4,2065.6407313688733,Mississippi,R1Z5,2024.1370969385575,0.5635637428215228,Minnesota,3278
Sweet 16,R3W1,Connecticut,R2W1,2260.7277882636304,Maryland,R2W4,2079.345526234889,0.7534705822940689,Connecticut,3163
Sweet 16,R3W2,Vanderbilt,R2W2,2155.159384653266,Ohio St,R2W3,2156.9742183610124,0.5027945494473683,Ohio St,3326
Sweet 16,R3X1,South Carolina,R2X1,2294.0701986102176,Oklahoma,R2X4,2124.944286629762,0.739181108676633,South Carolina,3376
Sweet 16,R3X2,Iowa,R2X2,2188.853691499177,TCU,R2X3,2136.829681959883,0.5794308635202164,Iowa,3234
Sweet 16,R3Y1,Texas,R2Y1,2289.6265643441566,West Virginia,R2Y4,2113.1602201466058,0.7478030797979249,Texas,3400
Sweet 16,R3Y2,Michigan,R2Y2,2168.87855897813,Louisville,R2Y3,2093.8461966934115,0.6135253881033818,Michigan,3276
Sweet 16,R3Z1,UCLA,R2Z1,2358.9296466212327,Minnesota,R2Z4,2082.381782035728,0.8459747678198417,UCLA,3417
Sweet 16,R3Z2,LSU,R2Z2,2216.4942234091495,Duke,R2Z3,2124.254646840858,0.6383343046426401,LSU,3261
Elite 8,R4W1,Connecticut,R3W1,2270.62130771961,Ohio St,R3W2,2175.874972548913,0.6418912095835277,Connecticut,3163
Elite 8,R4X1,South Carolina,R3X1,2304.4886621360924,Iowa,R3X2,2205.0297597563754,0.6485356445025945,South Carolina,3376
Elite 8,R4Y1,Texas,R3Y1,2299.7285617017683,Michigan,R3Y2,2183.8379319044197,0.6712443585790633,Texas,3400
Elite 8,R4Z1,UCLA,R3Z1,2365.3558829443878,LSU,R3Z2,2230.5652365735673,0.6964038867391278,UCLA,3417
Final Four,R5WX,Connecticut,R4W1,2284.56470208522,South Carolina,R4X1,2318.19347263815,0.5515990361792276,South Carolina,3376
Final Four,R5YZ,Texas,R4Y1,2312.6159577064377,UCLA,R4Z1,2377.3335004506644,0.5983565866683758,UCLA,3417
Championship,R6CH,South Carolina,R5WX,2335.3601579834076,UCLA,R5YZ,2392.834704224839,0.58758955501959,UCLA,3417
